orig,repl
the international federation of gynecology and obstetrics,international federation of gynecology and obstetrics
the international federation of medical students' associations,international federation of medical students' associations
the international health awareness network,international health awareness network
the international maritime organisation,international maritime organisation
the international programme on the state of the oceans,international programme on the state of the oceans
the international youth parliament network,international youth parliament network
the james michel foundation,james michel foundation
the joeun bizsquare,joeun bizsquare
the kick project (registered as live 2 give),kick project (registered as live 2 give)
the korean senior citizens association,korean senior citizens association
the land institute,land institute
the latin american organization of intermediate governments,latin american organization of intermediate governments
the lead group,lead group
the lead group (australia),lead group
the leatherback trust,leatherback trust
the leona m. and harry r. hemsley charitable trust,leona m. and harry r. hemsley charitable trust
the leprosy mission international,leprosy mission international
the levon group,levon group
the levon group (united states),levon group
the manta trust,manta trust
the mare nostrum global initiative,mare nostrum global initiative
the marine institute (mi) at the university of plymouth,university of plymouth
the mas kagin tapani association inc,mas kagin tapani association inc
the millennials movement,millennials movement
the money stone,money stone
the mont-blanc meetings – international forum of the social and solidarity economy entrepreneurs,mont-blanc meetings
the mountain institute,mountain institute
the national institute of technology,national institute of technology
the nature conservancy,nature conservancy
the nature conservancy of hawaii,nature conservancy
the nature conservancy;,nature conservancy
the nature conservation,nature conservancy
the nature conservatory,nature conservancy
the netherlands,netherlands
the network of subnational governments for sustainable development,network of subnational governments for sustainable development
the nippon foundation,nippon foundation
the nonhuman rights project,nonhuman rights project
the north east atlantic fisheries commission,north east atlantic fisheries commission
the northern forum,northern forum
the ocean cleanup foundation,ocean cleanup foundation
the ocean foundation,ocean foundation
the ocean policy research institute,ocean policy research institute
"the ocean policy research institute of sasakawa peace foundation, former ship and ocean foundation, as a secretariat for io net",sasakawa peace foundation
the ocean project,ocean project
the oceanographic institute,oceanographic institute
the opeduca project,opeduca project
the open university,open university
the orangutan conservancy,orangutan conservancy
the outlook for someday project,outlook for someday project
the pacific island climate action network,pacific islands climate action network
the partnering initiative,partnering initiative
the pendeba society,pendeba society
the people's movement for human rights learning,people's movement for human rights learning
the peoples review weekly,peoples review weekly
the pew charitable trusts,pew charitable trusts
the phoenix islands protected area conservation trust,phoenix islands protected area conservation trust
the phuket women capacity development project,phuket women capacity development project
the plastic bank,plastic bank
the prince albert ii foundation,prince albert ii foundation
the prince’s foundation for building communities,prince’s foundation for building communities
the reef dive resort & tours,reef dive resort and tours
the reproductive health supplies coalition,reproductive health supplies coalition
the resource foundation,resource foundation
the rezidor hotel group,rezidor hotel group
the rohingya football club,rohingya football club
the rotary foundation,rotary international
the royal society,royal society
the royal society (united kingdom of great britain and northern ireland),royal society
the safina center,safina center
the sasakawa peace foundation,sasakawa peace foundation
the seahorse trust,seahorse trust
the second institute of oceanograpy,second institute of oceanograpy
the secretariat of cbd,convention on biological diversity secretariat
the secretariat of the convention on the conservation of migratory species of wild animals (cms),convention on the conservation of migratory species of wild animals
the segye times,segye times
the shark trust,shark trust
"the sirindhon international environmental park,",sirindhon international environmental park
the small-scale sustainable infrastructure development fund,small-scale sustainable infrastructure development fund
the small-scale sustainable infrastructure development fund (s3idf) (united states),small-scale sustainable infrastructure development fund
the sri lankan blue whale project,sri lankan blue whale project
the state university of new york college of environmental science and forestry,state university of new york college of environmental science and forestry
the stockholm resilience centre,stockholm resilience center
the stone family foundation,stone family foundation
the sustainability incubator,sustainability incubator
the sustainable coastlines charitable trust,sustainable coastlines charitable trust
the tema foundation,tema foundation
the tiffany & co. foundation,tiffany and co. foundation
the tindall foundation (ttf),tindall foundation
the travel foundation,travel foundation
the ty danjuma foundation,ty danjuma foundation
the union of the handicapped association in busan,union of the handicapped association in busan
the united nations fund for international partnerships,united nations fund for international partnerships
the university of agriculture,university of agriculture
the university of bangui,university of bangui
the university of las palmas de gran canaria,university of las palmas de gran canaria
the university of malta,university of malta
the university of mauritius,university of mauritius
the university of seychelles,university of seychelles
the university of shiga prefecture,university of shiga prefecture
the university of tampere,university of tampere
the university of the south pacific,university of the south pacific
the university of the virgin islands,university of the virgin islands
the university of the west indies,university of the west indies
the university of tokyo,university of tokyo
the university of tokyo (japan),university of tokyo
the university of venice,university of venice
the university of waikato,university of waikato
the university of zambia,university of zambia
the virago development initiative,virago development initiative
the volvo group,volvo
the walton family foundation,walton family foundation
the water center for the humid tropics of latin america and the caribbean,water center for the humid tropics of latin america and the caribbean
the women's major group on sustainable development,women's major group on sustainable development
the world association for waterborne transport infrastructure,world association for waterborne transport infrastructure
the world bank,world bank
the world conservation union,international union for conservation of nature
the world federation for coral reef conservation,world federation for coral reef conservation
the world fish center,worldfish
the world kindness movement,world kindness movement
the world we want,world we want
the worldwide network of port cities,worldwide network of port cities
the yacht club of monaco,yacht club of monaco
the-ocean-foundation,ocean foundation
"the-science-exchange,",science exchange
thomas cook (united kingdom of great britain and northern ireland),thomas cook
thomson scientific (united states),Thomson Reuters
"thousand days (1,000 days)",thousand days
thyssen bornemisza art contemporary academy,thyssen bornemisza art contemporary
thyssen-bornemisza art contemporary (tba21 foundation),thyssen bornemisza art contemporary
tianjin aode energy engineering & technology ltd. (china),tianjin aode energy engineering & technology ltd.
ties- the international eco tourism society,international ecotourism society
ties:the international ecotourism society,international ecotourism society
ties:the international ecotourism society (united states),international ecotourism society
tiffany & co. foundation,tiffany and co. foundation
timor leste,timor-leste
timor-leste;,timor-leste
tivat municipality,tivat
tmb-energietechnik (nepal),tmb-energietechnik
tno caribbean,tno caribbean bureau innovation
"tocantins,",tocantins
togolese foundation for peace (togo),togolese foundation for peace
tokyo institute of technology,tokyo institute of technology
tokyo international university (japan),tokyo international university
tokyo university,tokyo university
"tombouctou,",tombouctou
tonga: tonga national youth congress;,tonga national youth congress
tonga;,tonga
"tonga-voyaging-society,",tonga voyaging society
torghatten •,torghatten
torresolar srl (argentina),torresolar srl
total s. a.,total
totalfinaelf,total
tourism & events queensland,tourism and events queensland
tourism concern (united kingdom of great britain and northern ireland),tourism concern
toyo energy corporation (japan),toyo energy corporation
toyo engineering corporation (japan),toyo engineering corporation
tpg (netherlands),tpg
tracerco (united kingdom of great britain and northern ireland),tracerco
transcol,transcol
transparence s.a.,transparence s.a.
transparency international;,transparency international
"transparency, accountability & participation (tap) network,","transparency, accountability & participation network"
"transparency, accountability & participation network","transparency, accountability and participation network"
transport and environment (t+e) (belgium);,transport and environment
transport research laboratory (trl) (united kingdom of great britain and northern ireland);,transport research laboratory
transportes aéreos portugueses,portuguese air transport
travel mole (united kingdom of great britain and northern ireland),travel mole
travelbag adventures (united kingdom of great britain and northern ireland),travelbag adventures
travelux holidays (united kingdom of great britain and northern ireland),travelux holidays
"trees, water and people (united states)","trees, water and people"
tri-isle resource conservation & development,tri-isle resource conservation and development
trimarine,tri marine
trollbäck & company,trollbäck and company
tropical disease research center (zambia),tropical disease research center
trowel development foundation – winner of equator prize 2010,trowel development foundation
trust for lead poisoning prevention (united states),trust for lead poisoning prevention
tsinghua university (china),tsinghua university
"ttgv,",Technology Development Foundation of Turkey
tui uk (united kingdom of great britain and northern ireland),tui uk
turkish marine research foundation (tudav),turkish marine research foundation
turks & caicos islands,turks and caicos islands
turtle-island-restoration-network,turtle island restoration network
tüv theinland immissionsschutz und energiesysteme gmbh,tüv rheinland
tüv theinland immissionsschutz und energiesysteme gmbh vosteen consulting gmbh,tüv rheinland
tuvalu association of ngos,tuvalu association of non-government organisation
tuvalu;,tuvalu
ua;,aveiro university
ucsb university of california santa barbara,"university of california, santa barbara"
ufz  helmholtz centre for environmental research,ufz helmholtz centre for environmental research
uganda network on toxic free malaria control (unetmac),uganda network on toxic free malaria control
"uitm,",university technology mara
uk business council for sustainable energy (united kingdom of great britain and northern ireland),uk business council for sustainable energy
uk coal (united kingdom of great britain and northern ireland),uk coal
"uk national oceanographic centre,",uk national oceanographic center
"ukm,",university of malaysia
ulcinj,ulcinj municipality
ulg northumbrian (united kingdom of great britain and northern ireland),ulg northumbrian
"ulula,",ulula
"um,",university of malaya
"ums,",university of malaysia sabah
un association of china,united nations association of china
un department of economic and social affairs,united nations department of economic and social affairs
un department of economic and social affairs (united states);,united nations department of economic and social affairs
un department of public information,united nations department of public information
un development group,united nations development program
un division for ocean affairs and the law of the sea,united nations division for ocean affairs and the law of the sea
un economic commission for africa,united nations economic commission for africa
un environment,united nations environment program
un environment / mediterranean action plan,united nations environment program
un environment / mediterranean action plan - barcelona convention secretariat,united nations environment program
un environment caribbean environment program,united nations environment program
un environment program,united nations environment program
un environment world conservation monitoring centre,united nations environment program
un environmental program,united nations environment program
un global compact,united nations global compact
un global compact – indonesian network,un global compact– indonesian network
"un global compact,",united nations global compact
un millenium campaign,united nations millenium campaign
un oceans,united nations oceans
un sdsn mediterranean,united nations sdsn mediterranean
un sustainable development solutions network,united nations sustainable development solutions network
un system influenza coordination,united nations influenza coordination
un water,united nations water
un- water,united nations water
un- water interagency task force on gender and water (united states),united nations water
un women,united nations entity for gender equality and the empowerment of women
un-business action hub,united nations business action hub
undp,united nations development program
undp gef small grants programme/rmi,global environment facility
uneca,uneca
unep,united nations environment program
unep/map,united nations environment program
unep/map-regional activity center for specially protected areas (unep/map-rac/spa) -  -,united nations environment program
unep-rolac,united nations environment program
"unesco,",unesco
"unfccc head office and regional collaboration centre lomé,",united nations framework convention on climate change
unfpa,united nations population fund
ungc italy network,united nations global compact italy network
ungc japan network,united nations global compact japan network
ungc nigeria local network,united nations global compact local network
un-habitat,united nations human settlement program
unicef,united nations international children's emergency fund
unicef (united states),unicef
unido,united nations industrial development organization
"unido,",united nations industrial development organization
unilever ltd,unilever
"unimap,",university of malaysia perlis
"unimas,",university malaysia sarawak
union nationale des maisons familiales rurales,national union of rural family homes
union nationale des travailleurs démocrates,national union of democratic workers
unione zoologica italiana (italy),unione zoologica italiana
unison (united kingdom of great britain and northern ireland),unison
united fishermen & allied workers union unifor,united fishermen and allied workers union
united kindgom,united kingdom
united kingdom,united kingdom
"united kingdom (government of),",united kingdom
united kingdom serials group (united kingdom of great britain and northern ireland),united kingdom serials group
united naitons univeristy,united naitons university
united nation development program,united nations development program
united nation food and agricultural organisation,food and agriculture organization
united national environment program,united nations environment program
united nations - oceans,united nations oceans
"united nations 
international strategy for disaster reduction","united nations 
international strategy for disaster reduction"
united nations (un) / department of economic and social affairs (desa) (united states),united nations department of economic and social affairs
united nations capital development fund (uncdf),united nations capital development fund
united nations centre for regional development,united nations center for regional development
united nations children's fund,united nations international children's emergency fund
united nations' children's fund,united nations international children's emergency fund
united nations children's fund (unicef) (united states),unicef
united nations convention to combat desertification,convention to combat desertification secretariat
united nations council on trade and development,united nations conference on trade and development
united nations council on trade and developmnet,united nations conference on trade and development
united nations department of economic and social affairs (undesa) (united states),united nations department of economic and social affairs
united nations department of public information (dpi) (united states),united nations department of public information
united nations development fund,united nations development program
united nations development group,united nations sustainable development group
"united nations development program,",united nations development program
united nations development program;,united nations development program
united nations development programm,united nations development program
united nations development programme,united nations development program
united nations development programme (undp),united nations development program
"united nations development programme,",united nations development program
united nations development project,united nations development program
united nations developnent program,united nations development program
united nations division for ocean affairs,united nations division for ocean affairs and the law of the sea
united nations economic and social commission for asia and pacific,united nations economic and social commission for asia and the pacific
united nations economic and social commission for asia and the pacific (escap),united nations economic and social commission for asia and the pacific
united nations economic and social commission for asia-pacific,united nations economic and social commission for asia and the pacific
"united nations economic and social commission for western asia (escwa),",united nations economic and social commission for western asia
united nations economic and social council for asia and the pacific,united nations economic and social commission for asia and the pacific
united nations economic commision for europe,united nations economic commission for europe
united nations economic for latin america and the caribbean,united nations economic commission for latin america and the caribbean
united nations economic scientific and cultural organization,unesco
"united nations economic, scientific and cultural organization",unesco
"united nations education, science and culture organization",unesco
united nations environment program,united nations environment program
united nations environment program •,united nations environment program 
united nations environment program;,united nations environment program
united nations environment programme,united nations environment program
united nations environment programme (unep),united nations environment program
united nations environmental program,united nations environment program
united nations environmental programme,united nations environment program
"united nations foundation,",united nations foundation
united nations framework convention on climate change,united nations framework convention on climate change
united nations framework convention on climate change secretariat,united nations framework convention on climate change
united nations fund for population activity,united nations fund for population
united nations high comissioner for human rights,office of the united nations high commissioner for human rights
united nations high commission for refugees,united nations high commissioner for refugees
united nations high commissioners for refugees,united nations high commissioner for refugees
united nations human settlements program,united nations human settlement program
united nations industrial development office,united nations industrial development organization
united nations industrial development organisation,united nations industrial development organization
united nations industrial development organization (unido) (austria),united nations industrial development organization
united nations industrial development organization.,united nations industrial development organization
united nations information center unic - lima,united nations information center - lima
"united nations information centre, accra",united nations information center accra
united nations institute for research and training,united nations institute for training and research
united nations institute for training and research (unitar),united nations institute for training and research
united nations institute of training and research,united nations institute for training and research
"united nations international children's emergency fund,",united nations international children's emergency fund
united nations international children's emergency fund;,unicef
united nations international emergency children's fund,united nations international children's emergency fund
united nations international strategy for disaster recovery,united nations international strategy for disaster reduction
united nations office for disaster risk reduction (unisdr);,united nations office for disaster risk reduction
united nations office for project service,united nations office for project services
united nations office for projects services (unops) (united states),united nations office for project services
united nations office for the coordination of human affairs,united nations office for the coordination of humanitarian affairs
united nations office for the coordination of humanitarian affairs (ocha),united nations office for the coordination of humanitarian affairs
united nations office of the high representative for the least developed countries,"united nations office of the high representative for the least developed countries, landlocked developing countries and small island developing states"
"united nations office of the high representative for the least developed countries, landlocked developing countries and the small island developing states","united nations office of the high representative for the least developed countries, landlocked developing countries and small island developing states"
"united nations office of the high representative for the least developed countries, landlocked developing countries, and small island developing states","united nations office of the high representative for the least developed countries, landlocked developing countries and small island developing states"
united nations secretary-generals' advisory board on water & sanitation,united nations secretary general
united nations secretary-generals' advisory board on water and sanitation,united nations secretary general
united nations univeristy,united nations university
united nations univerity,united nations university
united nations university (unu);,united nations university
united nations world tourism organization,world tourism organization
united nations world tourism organization (spain),world tourism organization
united nations’ sustainable development solutions network,united nations’ sustainable development solutions network
united states  •,united states
"united states 
farmworker justice fund, inc","united states 
farmworker justice fund, inc"
united states of america,united states
united utilities (united kingdom of great britain and northern ireland),united utilities
"uniten,",national energy university
unitersite de versailles st. quentin en yvelines,university of versailles saint-quentin
univ. of north carolina school of public health,university of north carolina
univ. of north carolina school of public health (united states),university of north carolina
unived nations environment progam,united nations environment program
univeridad autonomo de santo domingo,autonomous university of santo domingo
univeristy of bergen,university of bergen
univeristy of liege,university of liege
universidad amazonica de pando cobija,amazon university of pando cobija
universidad autnoma de santo domingo,autonomous university of santo domingo
universidad autónoma de coahuila,autonomous university of coahuila
universidad autónoma de nayarit,autonomous university of nayarit
universidad autónoma de san luis potosí,autonomous university of san luis potosí
universidad autonoma de santo domingo,autonomous university of santo domingo
universidad autonomo de nuevo leon,autonomous university of new leon
universidad autonomo de santo domingo,autonomous university of santo domingo
universidad belgrano,belgrano university
universidad carolina,university carolina
universidad casa grande,casa grand university
"universidad católica de bolivia ""san pablo"" - cochabamba;","catholic university of bolivia ""san pablo"" - cochabamba"
universidad complutense de madrid,complutense university of madrid
universidad de alcalá,university of alcalá
universidad de autonomo de santo domingo,autonomous university of santo domingo
universidad de buenos aires,buenos aires university
universidad de cantabria,university of cantabria
universidad de chile,university of chile
universidad de ciencias aplicadas y ambientales,university of applied and environmental sciences
universidad de concepción,university of conception
universidad de costa rica,costa rica university
universidad de extremadura,university of extremadura
universidad de granada,university of granada
universidad de las illes balears,university of the balearic islands
universidad de leon,university of leon
universidad de magallanes,university of magallanes
universidad de monterrey,unitersity of monterrey
universidad de panamá,university of panama
universidad de porto,university of porto
universidad de salamanca,university of salamanca
universidad de santander-udes,university of santander-udes
universidad de sao paulo,university of sao paulo
universidad de sevilla,university of sevilla
universidad del pacifico - ecuador,university of the pacifico - ecuador
universidad eafit,university eafit
universidad emill brunner de brasil,emill brunner university of brazil
universidad especializada de las americas,specialized university of the americas
universidad estatal de bolívar,state university of bolivar
"universidad iberoamericana, a.c.","ibero-american university, a.c."
universidad internacional sek,sek international university
universidad juárez autónoma de tabasco,autonomous university of tabasco
universidad juárez autónoma de tabasco;,autonomous university of tabasco
universidad la salle saltillo,la salle saltillo university
universidad marítima internacional de panamá,international maritime university of panama
universidad mayor de san andres,university of san andres
universidad mayor de san andres (bolivia),university of san andres
universidad mayor de san simón,university of san simón
universidad nacional autonoma de honduras,national autonomous university of honduras
universidad nacional autonoma de mexico,national autonomous university of mexico
universidad nacional autónoma de nicaragua,national autonomous university of nicaragua
universidad nacional de autonoma honduras,national autonomous university of honduras
universidad nacional de colombia,national university of colombia
universidad nacional de formosa,national university of formosa
universidad nacional de loja,national university of loja
universidad nacional de rosario,national university of rosario
universidad nacional de rosario - facultad de ciencias economicas y estadisticas. (argentina),national university of rosario
universidad nacional de salta,national university of salta
universidad nacional de trujillo,national university of trujillo
universidad nacional del centro de la provincia,national university of the center of the province
universidad nacional del sur,southern national university
universidad pedagogica nacional,national pedagogical university
universidad peruana cayetana heredia,peruvian university cayetana heredia
universidad politécnica de cartagena,polytechnic university of cartagena
universidad pontificia bolivariana,bolivarian pontifical university
universidad rafael landìvar-url,university rafael landìvar
universidad regional autónoma de los andes,autonomous regional university of the andes
universidad san ignacio de loyola,san ignacio de loyola university
universidad senor de sipan,senor de sipan university
universidad técnica de ambato,technical university of ambato
universidad tecnológica equinoccial,equator technological university
universidad veracruzana,veracruz university
universidade da regio de joinville,joinville regency university
universidade de cape verde,university of cape verde
universidade de lisboa,university of lisbon
universidade do vale do itaja,university of the itajaí valley
universidade do vale do itajaí,university of the itajaí valley
universidade estadual de campinas,campinas state university
universidade estadual do norte fluminense darcy ribeiro,darcy ribeiro state university of northern
universidade federal de pelotas,federal university of pelotas
universidade federal de pernambuco,federal university of pernambuco
universidade federal de rio grande,federal university of rio grande
universidade federal de santa catarina,federal university of santa catarina
universidade federal de sao paulo,federal university of sao paulo
universidade federal do acre rio branco,federal university of acre rio branco
universidade federal do parana,federal university of parana
universidade federal do rio de janeiro,federal university of rio de janeiro
universidade federal do rio grande do norte,federal university of rio grand of the north
universidade federal fluminense,federal fluminense university
universidade nacional de brasília faculdade de direito,university of brazil law school
universidade santa ceclia,university santa cecilia
universidades estatales,state university
universit assane seck de ziguinchor,secular university of ziguinchor
universit cheick anta diop,university of dakar
universit cheikh anta diop,university of dakar
universit de bretagne occidentale,university of western brittany
universit de montpellier,university of montpellier
universit de nice sophia antipolis,university of nice sophia antipolis
"universit gaston berger de saint-louis ufr de sciences agronomiques, de l'aquaculture et de technologies alimentaires","university gaston shepherd of saint-louis ufr of agronomic sciences, aquaculture and food technologies"
universit libre de bruxelles,free university of brussels
universit paris-sud,university of paris south
università ca’ foscari venezia,ca' foscari university of venice
università degli studi di catania,university of catania
università degli studi di ferrara,university of ferrara
università degli studi di genova,university of genova
università degli studi di milano,university of milan
università degli studi di siena,univeristy of siena
universita degli studi di udine,university of udine
università della calabria,university of calabria
università di pisa,university of pisa
università di siena,univeristy of siena
università for foreigners of perugia,university for foreigners of perugia
università mediterranea di reggio calabria,mediterranean university of reggio calabria
università terzo settore,third sector university
universita’ degli studi di padova,university of padova
universitas indonesia,university of indonesia
universitas jember,university of jember
universitas mulawarman,mulawarman university
universitas negeri malang,malang state university
universitas sultan ageng tirtayasa,sultan tirtayasa sultan university
universitat de barcelona,university of barcelona
universitat de girona,university of girona
universitat de valència,university of valencia
universitat oberta de catalunya,open vniversity of catalonia
universitat politècnica de catalunya,polytechnic university of catalonia
université blaise pascal,blaise pascal university
université catholique de lille,catholic university of lille
université catholique de louvain,catholic university of louvain
universite cheikh anta diop,university of dakar
université claude bernard lyon 1,university claude bernard lyon 1
université d’aix marseille,university of marseille
université d’angers,university of angers
université d'artois,university of artois
université de bourgogne,univerity of burgandy
universite de bretagne occidentale,university of western brittany
université de bretagne occidentale,university of western brittany
université de bretagne occidentale (ubo),university of western brittany
université de bretagne-sud,university of south brittany
université de haute-alsace,university of haute-alsace
université de la rochelle,university of la rochelle
université de lille,university of lille
université de lorraine,university of lorraine
université de lyon,university of lyon
universite de nantes,university of nantes
université de nantes,university of nantes
universite de nimes,university of nimes
université de paris-sud,university of paris south
université de pau et des pays de l'’adour,university of pau and adour countries
université de perpignan via domitia,university of perpignan - domitia
université de tours,university of tours
université de tunis el manar,tunis - el manar university
université des antilles et de la guyane,university of the caribbean and guyana
université du littoral côte d'opale,university coastline opal coast
université du maine,university of maine (france)
université du québec à montréal,university of quebec in montreal
université grenoble alpes,university of grenoble
université jean monnet,jean monnet university
universite joseph fourier,joseph fourier university
université joseph fourier,joseph fourier university
université laval,laval university
université libre de bruxelles,free university of brussels
université lille 1 - sciences et technologies,university lille 1 - science and technology
université lyon,university of lyon
universite mediterranee,mediterranean universities
université montesquieu –,montesquieu university
université nice sophia antipolis,nice sophia antipolis university
université paris 13,university of paris 13
université paris diderot,paris diderot university
"université paris ouest nanterre la défense, nanterre",paris nanterre university
universite paris saclay,university paris-saclay
université paris-saclay,university paris-saclay
université pierre et marie curie,pierre and marie curie university
université virtuelle environnement et développement durable,virtual university environment and sustainable development
universiti kebansgaan malaysia,university of malaysia
universiti malaya,university of malaya
universiti malaysia perlis,university of malaysia perlis
universiti malaysia sabah,university of malaysia sabah
universiti malaysia sarawak,university malaysia sarawak
universiti malaysia terengganu,terengganu malaysia university
universiti pendidikan sultan idris,sultan idris education university
universiti putra malaysia,malaysia putra malaysia
universiti sains islam malaysia,universiti sains islam malaysia
universiti sains malaysia,universiti sains malaysia
universiti teknikal malaysia melaka,technical university of malaysia melaka
universiti teknologi mara,university technology mara
universiti tenaga nasional,national energy university
universiti tun hussein onn malaysia,universiti tun hussein onn malaysia
universities of otago,universities of otago
"university at buffalo, the state university of new york",state university of new york at buffalo
university cheikh anta diop,university of dakar
university college london,university college of london
"university college of london, department of civil, environmental and geomatic engineering (united kingdom of great britain and northern ireland);",university college of london
university malaysia terengganu,terengganu malaysia university
university network of excellence in nuclear engineering,university network of excellence in nuclear engineering
"university of arizona,",university of arizona
"university of barcelona,",university of barcelona
"university of bergen, norway",university of bergen
university of california at berkeley,"university of california, berkeley"
university of california at berkeley (united states),university of california at berkeley
university of california davis,"university of california, davis"
university of chicago law school (united states),university of chicago
university of chicago press (united states),university of chicago press
"university of chicago, school of business (united states)",university of chicago
university of dayton - ethos program,university of dayton
university of dayton - ethos program (united states),university of dayton
"university of gothenburg (academic institution),",university of gothenburg
"university of gothenburg, center for sea and society",university of gothenburg
university of hull (united kingdom of great britain and northern ireland),university of hull
university of illinois at urbana-champaign,university of illinois
university of illinois at urbana-champaign (united states),university of illinois at urbana-champaign
university of leiden,leiden university
university of liverpool (united kingdom of great britain and northern ireland),university of liverpool
"university of liverpool,",university of liverpool
university of manchester (united kingdom of great britain and northern ireland),university of manchester
university of nairobi (kenya),university of nairobi
"university of ottawa (academic institution),",university of ottawa
university of rome (italy),university of rome
university of san marcos (unmsm),university of san marcos
university of sao paulo,university of sao paulo
university of são paulo,university of sao paulo
university of science & technology of china attached middle school,university of science and technology of china attached middle school
university of sofia,university of sofia
university of south pacific,university of the south pacific
university of stellenbosch business school,university of stellenbosch
university of stockholm,stockholm university
university of stuttgart - ifk,university of stuttgart
university of surrey (united kingdom of great britain and northern ireland),university of surrey
university of sussex (united kingdom of great britain and northern ireland),university of sussex
university of the south pacific (usp),university of the south pacific
"university of the south pacific,",university of the south pacific
university of torino,university of turin
university of transport and communication (utcc) hanoi (vietnam);,university of transport and communication
university of versailles saint quentin en yvelines,university of versailles saint-quentin
"university of wales, newport-uwn","university of wales, newport"
university of wisconsin - madison,university of wisconsin
"university sumatera utara indonesia,",university sumatera utara indonesia
univerza na primorskem,university of primorska
un-ngo office,united nations - ngo office
un-ocean,united nations oceans
un-oceans,united nations oceans
unops,united nations office for project services
"unossc,",United Nations Office for South-South Cooperation
unwater,united nations water
un-water,united nations water
unwomen,united nations entity for gender equality and the empowerment of women
un-women,united nations entity for gender equality and the empowerment of women
"upm,",malaysia putra malaysia
"upsi,",sultan idris education university
urban community development association (uganda),urban community development association
urs corporation (united states),aecom
us cyber research and statistics,united states cyber research and statistics
us green building council,united states green building council
us institute for sustainable power,united states institute for sustainable power
us virgin islands university,united states virgin islands university
"usim,",universiti sains islam malaysia
"usm,",universiti sains malaysia
"usp,",university of the south pacific
ustoa: united states tour operators association,united states tour operators association
ustoa: united states tour operators association (united states),united states tour operators association
"utem,",technical university of malaysia melaka
"uthm,",universiti tun hussein onn malaysia
v.l. natarajan,v.l. natarajan
va tech finance (austria),va tech finance
vallmitjana & company consulting services,vallmitjana and company consulting services
val-tex (united states),val-tex
vanbreda risk&benefits,vanbreda risk and benefits
vancouver aquarium marine science centre,vancouver aquarium
vanuatu cultural centre,vanuatu cultural center
vanuatu cultural council,vanuatu cultural center
"vanuatu organics ltd ,",vanuatu organics ltd
vanuatu rural development training centres association,vanuatu rural development training centers association
"vanuatu- vanuatu virgin coconut oil ltd,",vanuatu virgin coconut oil ltd
vanuatu.;,vanuatu
vava'u environmental protection association (vepa),vava'u environmental protection association
växjö,vaxjo
veolia transport (france);,veolia transport
veolia water,veolia
"vermont,",vermont
vestergaard frandsen (denmark),vestergaard frandsen
veterinary associations of the nordic countries (denmark),veterinary associations of the nordic countries
via expo ltd (bulgaria),via expo ltd
vida silvestre: sociedad uruguay para la conservación de la naturaleza,wildlife: uruguayan society for the conservation of nature
vida silvestre: sociedad uruguay para la conservación de la naturaleza (uruguay),vida silvestre: sociedad uruguay para la conservación de la naturaleza
viet nam,vietnam
village education resource center (bangladesh),village education resource center
villefranche sur mer oceanographic laboratory,villefranche oceanographic laboratory
"villgro innovation foundation,",villgro innovation foundation
vinay chand associates (united kingdom of great britain and northern ireland),vinay chand associates
virgin holidays (united kingdom of great britain and northern ireland),virgin holidays
"visa, international",visa inc.
visit: voluntary initiative for sustainability in tourism (germany),visit: voluntary initiative for sustainability in tourism
vizzuality,vizzuality
vlaamse regering (government-sponsor),vlaamse regering
"volontariato internazionale donna, educazione, sviluppo","international women's volunteering, education, development"
voluntarios onu méxico,volunteers un mexico
voluntarios onu méxico.,voluntarios onu méxico
volvo group,volvo
vosteen consulting gmbh germany,vosteen consulting gmbh
voto mobile,voto mobile
voute nubienne,nubian vault
vrije universiteit amsterdam,vrije university amsterdam
vu university amsterdam,vrije university amsterdam
vulcan,vulcan philanthropy
wageningen university (netherlands),wageningen university
waitt foundation,waitt institute
"wales,",wales
wallis & futuna - chambre de commerce d\'industrie des metiers et de l\'agriculture;,chamber of commerce of industry of trades and agriculture
wallonia department of nature and forests,wallonia
walter ollor  foundation,walter ollor foundation
"walton family foundation,",walton family foundation
"washington ocean acidification center, university of washington",university of washington
"washington state, marine resource advisory council",washington state
"waste energy technology, llc (united states)",montauk energy
waste management pacific pty ltd (australia),waste management pacific pty ltd
water aid,wateraid
water aid (united kingdom of great britain and northern ireland),water aid
water footprint network;,water footprint network
water reasearch centre,water research center
water reasearch centre (united kingdom of great britain and northern ireland),water research center
water research commission (wrc) (south africa),water research commission
water supply & sanitation collaborative council,water supply and sanitation collaborative council
